timestamp,id,num,d0,d1,d2,d3,d4,d5,d6,d7
1.264003937,153,8,00,80,10,ff,00,ff,00,00
1.264961011,220,8,f7,03,f5,03,9f,01,c7,0f
1.265906538,690,8,40,00,01,00,00,00,00,00
1.266758411,260,8,16,19,00,30,00,65,00,00
1.267668016,4B1,8,00,00,00,00,00,00,00,00
1.268520316,59B,8,00,00,00,00,00,00,00,4c
1.269368767,220,8,fc,03,ec,03,a4,01,c7,0f
1.270275378,316,8,45,19,aa,0c,19,10,00,00
1.271414202,545,8,e4,12,00,88,97,00,95,00
1.272736058,220,8,ff,03,ec,03,9f,01,c7,0f
1.273688,428,8,05,00,00,80,65,08,02,00
1.274619415,329,8,ed,92,80,90,0a,20,00,14
1.275564087,545,8,e4,12,00,89,94,00,96,00
1.276486949,153,8,00,80,10,ff,00,ff,00,00
1.277413232,350,8,15,13,83,83,88,00,00,8e
1.278338232,440,8,ff,a0,00,00,ff,c4,0b,00
1.279277345,545,8,e4,12,00,89,94,00,96,00
1.280201917,220,8,f7,03,ef,03,9f,01,c7,0f
1.281143596,18F,8,fe,3c,19,00,00,51,00,00
1.28206603,220,8,ff,03,e4,03,9f,01,d4,0f
1.282990602,545,8,e4,12,00,89,95,00,99,00
1.283927577,153,8,00,80,10,ff,00,ff,00,00
1.284850439,18F,8,fe,3c,19,00,00,51,00,00
1.28590416,545,8,e4,12,00,88,95,00,99,00
1.286837714,153,8,00,80,10,ff,00,ff,00,00
1.287752022,4F0,8,80,00,00,00,00,c5,bc,14
1.289019568,2A0,8,00,00,6a,00,00,00,00,00
1.289972793,220,8,fa,03,f5,03,9f,01,c1,0f
1.290909339,1F1,8,00,00,00,00,00,00,00,00
1.291834767,316,8,45,19,aa,0c,19,10,00,00
1.29276832,260,8,16,19,00,30,00,65,00,00
1.293696741,545,8,e4,12,00,89,98,00,95,00
1.294654243,153,8,00,80,10,ff,00,ff,00,00
1.295677602,4F0,8,80,00,00,00,00,c5,bc,14
1.296833959,350,8,15,13,d3,83,88,00,00,de
1.297666587,153,8,00,80,10,ff,00,ff,00,00
1.298494084,1F1,8,00,00,00,00,00,00,00,00
1.299317304,350,8,15,13,e3,83,88,00,00,ee
