time,type,id,num,d0,d1,d2,d3,d4,d5,d6,d7
1.533592515,0,545,8,dc,14,00,88,38,00,37,00
1.534798052,0,59B,8,00,00,00,00,00,00,00,c4
1.535791903,0,153,8,00,80,10,ff,00,ff,00,00
1.536725029,0,2A0,8,00,00,64,00,00,00,00,00
1.537657726,0,440,8,ff,00,00,00,ff,7c,0c,00
1.538583154,0,4D0,8,00,ff,fa,00,00,00,00,00
1.539515424,0,1F1,8,00,00,00,00,00,00,00,00
1.540442135,0,2B0,5,d9,ff,00,07,fc,00,36,00
1.541393222,0,440,8,ff,50,00,00,ff,78,0c,00
1.542319932,0,4F0,8,80,00,00,00,00,63,c6,14
1.543342008,0,0A0,8,45,4e,94,0d,00,ad,00,00
1.544285825,0,43F,8,00,40,60,ff,4c,78,0c,00
1.545217667,0,440,8,ff,a0,00,00,ff,78,0c,00
1.546145234,0,1F1,8,00,00,00,00,00,00,00,00
1.547092044,0,329,8,0c,72,7f,90,49,20,00,14
1.548092737,0,440,8,ff,f0,00,00,ff,78,0c,00
1.549060074,0,350,8,27,13,23,7f,80,00,00,e8
1.549996193,0,0A0,8,45,4e,94,0d,00,ad,00,00
1.550929747,0,2B0,5,d9,ff,00,07,cf,00,3a,00
1.763127261,0,440,8,ff,00,00,00,ff,80,0c,00
1.76657324,0,4B1,8,00,00,00,00,00,00,00,00
1.770135538,0,260,8,16,1a,00,30,00,61,00,00
1.773574246,0,440,8,ff,50,00,00,ff,80,0c,00
1.775925876,0,350,8,27,13,43,7f,80,00,00,88
1.777401258,0,428,8,05,00,00,80,65,08,02,00
1.778858678,0,2B0,5,d9,ff,00,07,21,00,c1,0f
1.780185667,0,440,8,ff,a0,00,00,ff,78,0c,00
1.78143183,0,350,8,27,13,53,7f,80,00,00,98
1.78264763,0,0A0,8,45,4e,8c,0d,00,ad,00,00
1.783860008,0,43F,8,00,40,60,ff,4c,74,0c,00
1.785671948,0,220,8,fd,03,e7,03,00,00,c1,0f
1.786895873,0,4F0,8,80,00,00,00,00,63,c6,14
1.788023151,0,545,8,dc,14,00,89,35,00,36,00
1.789028976,0,440,8,ff,00,00,00,ff,70,0c,00
1.79002411,0,350,8,27,13,73,7f,80,00,00,b8
1.791100925,0,430,8,00,00,00,00,00,00,00,00
1.792033623,0,545,8,dc,14,00,88,35,00,37,00
1.792958195,0,59B,8,00,00,00,00,00,00,00,88
1.793881057,0,690,8,00,00,01,00,00,00,00,00
1.79480007,0,18F,8,fe,4c,1a,00,00,56,00,00
1.795719511,0,220,8,fc,03,f2,03,00,00,e0,0f
1.796634675,0,350,8,27,13,93,7f,80,00,00,58
1.797550695,0,316,8,45,1a,92,0d,1a,17,00,00
1.798471419,0,430,8,00,00,00,00,00,00,00,00
1.799576458,0,440,8,ff,f0,00,00,ff,80,0c,00
1.80062462,0,220,8,fd,03,ef,03,02,00,da,0f
1.80192595,0,0A1,8,80,80,80,80,63,12,0d,00
1.802948881,0,43F,8,00,40,60,ff,4c,7c,0c,00
1.803958128,0,220,8,fd,03,ef,03,00,00,da,0f
1.804966519,0,350,8,27,13,b3,7f,80,00,00,78
1.805976193,0,153,8,00,80,10,ff,00,ff,00,00
1.806984585,0,545,8,dc,14,00,8a,34,00,33,00
1.807988699,0,350,8,27,13,c3,7f,80,00,00,08
1.808993242,0,4F0,8,80,00,00,00,00,63,c6,14
1.809912683,0,2B0,5,d9,ff,00,07,a9,00,31,00
1.810835972,0,153,8,00,80,10,ff,00,ff,00,00
1.811758834,0,350,8,27,13,d3,7f,80,00,00,18
1.812679558,0,2A0,8,00,00,64,00,00,00,00,00
1.813601137,0,43F,8,00,40,60,ff,4c,7c,0c,00
1.81454196,0,350,8,27,13,e3,7f,80,00,00,28
1.815556766,0,4F0,8,80,00,00,00,00,63,c6,14
1.816527096,0,545,8,dc,13,00,89,30,00,33,00
1.817458084,0,440,8,ff,00,00,00,ff,7c,0c,00
1.818661054,0,220,8,fc,03,f1,03,00,00,cd,0f
1.819599312,0,0A0,8,44,4e,8c,0d,00,ad,00,00
1.820532437,0,2B0,5,d9,ff,00,07,fc,00,36,00
1.821460003,0,1F1,8,00,00,00,00,00,00,00,00
1.822399543,0,4F0,8,80,00,00,00,00,63,c6,14
1.823326254,0,220,8,fd,03,e4,03,00,00,e0,0f
1.82425553,0,440,8,ff,a0,00,00,ff,7c,0c,00
1.825179675,0,350,8,28,13,13,7f,80,00,00,d7
1.826104248,0,316,8,45,1a,94,0d,1a,17,00,00
1.82702882,0,2B0,5,d9,ff,00,07,de,00,33,00
1.827953393,0,4B1,8,00,00,00,00,00,00,00,00
1.828878393,0,690,8,00,00,01,00,00,00,00,00
1.829806814,0,0A1,8,80,80,80,80,63,d7,0b,00
1.830749776,0,370,8,ff,20,00,00,ff,00,00,20
1.831758167,0,350,8,28,13,33,7f,80,00,00,f7
1.832727215,0,220,8,fd,03,ec,03,00,00,cd,0f
1.833655208,0,545,8,dc,13,00,89,32,00,31,00
1.834832093,0,440,8,ff,50,00,00,ff,84,0c,00
1.835818674,0,4F0,8,80,00,00,00,00,63,c6,14
1.836748806,0,316,8,45,1a,98,0d,1a,17,00,00
1.837709301,0,220,8,ff,03,e9,03,00,00,c1,0f
1.838634301,0,440,8,ff,a0,00,00,ff,78,0c,00
1.839559301,0,350,8,28,13,53,7f,80,00,00,97
1.840485156,0,329,8,0c,72,7f,90,49,20,00,14
1.841411867,0,440,8,ff,f0,00,00,ff,78,0c,00
1.842334729,0,220,8,fd,03,ef,03,00,00,c1,0f
1.843260584,0,429,8,55,02,00,00,00,00,2d,03
1.844183874,0,2B0,5,d9,ff,00,07,03,00,33,00
1.845106308,0,440,8,ff,00,00,00,ff,88,0c,00
1.84602917,0,350,8,28,13,73,7f,80,00,00,b7
1.84697427,0,153,8,00,80,10,ff,00,ff,00,00
1.847992497,0,370,8,ff,20,00,00,ff,00,00,e4
1.8489624,0,350,8,28,13,83,7f,80,00,00,47
1.849893387,0,1F1,8,00,00,00,00,00,00,00,00
